Date,ConnType,Lat,Lon,Download,Upload,Latency,ServerName,InternalIp,ExternalIp
2013-08-22 22:17,Wi-Fi,42.651877,-73.766116,6425,206,147,"Binghamton, NY","192.168.1.120","74.76.225.89"
2013-08-22 22:16,Wi-Fi,42.651877,-73.766116,4694,180,151,"Binghamton, NY","192.168.1.120","74.76.225.89"
2013-07-08 10:49,Wi-Fi,43.966343,-69.209420,9258,972,67,"Portland, ME","192.168.1.117","74.78.180.78"
2013-06-15 13:36,Wi-Fi,41.019960,-73.764075,13106,4524,22,"Secaucus, NJ","192.168.1.13","108.6.26.120"
2013-06-15 11:07,Wi-Fi,41.019698,-73.763975,12473,4638,24,"New York City, NY","192.168.1.13","108.6.26.120"
2013-05-19 19:14,Wi-Fi,42.653450,-73.762654,2024,156,105,"Hudson, NY","192.168.1.120","74.76.225.89"
2013-05-19 17:21,Wi-Fi,42.688494,-73.849220,10758,15077,31,"Hudson, NY","10.161.22.200","12.20.227.221"
2013-05-13 09:45,Cell,42.648338,-73.762993,634,406,137,"Hudson, NY","10.233.160.182","174.236.1.145"
2013-05-11 16:58,Wi-Fi,42.653460,-73.762645,5989,191,69,"Binghamton, NY","192.168.1.120","74.76.225.89"
2013-05-11 16:56,Wi-Fi,42.653460,-73.762645,1864,169,50,"Binghamton, NY","192.168.1.120","74.76.225.89"
2013-03-21 17:43,Wi-Fi,42.688958,-73.849224,5141,9100,33,"Hudson, NY","10.161.19.171","12.20.227.221"
2012-12-24 15:18,Cell,41.020072,-73.764157,1573,551,99,"Secaucus, NJ","10.231.143.147","174.254.178.193"
2012-12-16 15:37,Cell,42.688975,-73.849041,373,83,87,"Hartford, CT","10.243.8.158","174.252.56.100"
2012-10-14 21:49,Wi-Fi,42.653139,-73.763555,12661,146,77,"Hudson, NY","192.168.1.120","74.76.225.89"
2012-05-25 13:02,Wi-Fi,42.655842,-73.760083,2714,190,145,"Oxford, MA","192.168.1.118","74.76.225.89"
2012-05-25 13:02,Wi-Fi,42.655842,-73.760083,8241,178,128,"Oxford, MA","192.168.1.118","74.76.225.89"
2011-07-11 23:41,Cell,42.654155,-73.762477,654,481,265,"Granby, MA","10.225.132.22","174.252.41.118"
2011-07-11 14:52,Cell,42.640918,-73.743149,266,802,251,"Granby, MA","10.233.9.125","174.252.50.21"
2011-07-11 09:57,Cell,42.640918,-73.743149,526,669,239,"Granby, MA","10.233.9.125","174.252.50.21"
2011-07-11 09:56,Cell,42.640918,-73.743149,57,91,449,"Granby, MA","10.233.9.125","174.252.50.21"
